"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","687","Код 400 при попытке принять заказ без id заказа или курьера","tests","2025-12-13","passed","2025-12-13","TestAcceptOrder","test_accept_order","",""
"","675","Код 404 при при попытке логина с некорректными данными","tests","2025-12-13","passed","2025-12-13","TestLoginCourier","test_login_courier","",""
"","884","Код 200 при успешном логине курьера","tests","2025-12-13","passed","2025-12-13","TestLoginCourier","test_login_courier","",""
"","672","Код 404 при удалении курьера с несуществующим id","tests","2025-12-13","passed","2025-12-13","TestDeleteCourier","test_delete_courier","",""
"","780","Код 201 при успешном создании заказа","tests","2025-12-13","passed","2025-12-13","TestCreateOrder","test_create_order","",""
"","679","Код 404 при при попытке логина несуществующего курьера","tests","2025-12-13","passed","2025-12-13","TestLoginCourier","test_login_courier","",""
"","747","Код 400 при попытке принять заказ без id заказа или курьера","tests","2025-12-13","failed","2025-12-13","TestAcceptOrder","test_accept_order","",""
"","669","Код 400 при создании курьера с пустым полем ввода","tests","2025-12-13","passed","2025-12-13","TestCreateCourier","test_create_courier","",""
"","724","Код 200 при успешном получении заказа по его номеру","tests","2025-12-13","passed","2025-12-13","TestGetOrderByTrack","test_get_order_by_track","",""
"","733","Код 400 при попытке получить заказ по несуществующему номеру","tests","2025-12-13","passed","2025-12-13","TestGetOrderByTrack","test_get_order_by_track","",""
"","772","Код 201 при успешном создании заказа","tests","2025-12-13","passed","2025-12-13","TestCreateOrder","test_create_order","",""
"","675","Код 400 при попытке получить заказ по несуществующему номеру","tests","2025-12-13","passed","2025-12-13","TestGetOrderByTrack","test_get_order_by_track","",""
"","692","Код 200 после успешного принятия заказа","tests","2025-12-13","passed","2025-12-13","TestAcceptOrder","test_accept_order","",""
"","717","Код 201 при успешном создании заказа","tests","2025-12-13","passed","2025-12-13","TestCreateOrder","test_create_order","",""
"","645","Код 400 попытке получить заказ без номера","tests","2025-12-13","passed","2025-12-13","TestGetOrderByTrack","test_get_order_by_track","",""
"","643","Код 400 при при попытке логина с пустым полем","tests","2025-12-13","passed","2025-12-13","TestLoginCourier","test_login_courier","",""
"","742","Код 400 при создании курьера с пустым полем ввода","tests","2025-12-13","passed","2025-12-13","TestCreateCourier","test_create_courier","",""
"","644","Код 400 при при попытке логина с пустым полем","tests","2025-12-13","passed","2025-12-13","TestLoginCourier","test_login_courier","",""
"","2492","Код 200 при успешном удалении курьера","tests","2025-12-13","passed","2025-12-13","TestDeleteCourier","test_delete_courier","",""
"","904","Код 404 при попытке принять заказ с неверным id заказа или курьера","tests","2025-12-13","passed","2025-12-13","TestAcceptOrder","test_accept_order","",""
"","810","Код 404 при удалении курьера с несуществующим id","tests","2025-12-13","passed","2025-12-13","TestDeleteCourier","test_delete_courier","",""
"","670","Код 404 при при попытке логина с некорректными данными","tests","2025-12-13","passed","2025-12-13","TestLoginCourier","test_login_courier","",""
"","9033","Код 200 при успешном получении списка заказов","tests","2025-12-13","passed","2025-12-13","TestGetOrdersList","test_get_orders_list","",""
"","652","Код 409 при создании курьеров с одинаковыми данными","tests","2025-12-13","passed","2025-12-13","TestCreateCourier","test_create_courier","",""
"","676","Код 400 при удалении курьера без передачи id","tests","2025-12-13","failed","2025-12-13","TestDeleteCourier","test_delete_courier","",""
"","675","Код 200 при успешном создании курьера","tests","2025-12-13","passed","2025-12-13","TestCreateCourier","test_create_courier","",""
"","1474","Код 201 при успешном создании заказа","tests","2025-12-13","passed","2025-12-13","TestCreateOrder","test_create_order","",""
"","718","Код 404 при попытке принять заказ с неверным id заказа или курьера","tests","2025-12-13","passed","2025-12-13","TestAcceptOrder","test_accept_order","",""
"","777","Код 404 при удалении курьера с несуществующим id","tests","2025-12-13","passed","2025-12-13","TestDeleteCourier","test_delete_courier","",""
